"time","R0.i","R0.v","R1.i","R1.v"
0.328,0.0004975124377732385,0.4975124377732385,0.0004975124378111338,49.75124378111338
0.329,0.0004975124377738212,0.4975124377738211,0.000497512437811131,49.7512437811131
0.33,0.0004975124377743896,0.4975124377743896,0.000497512437811128,49.75124378111281
0.331,0.0004975124377749722,0.4975124377749722,0.0004975124378111251,49.75124378111251
0.332,0.0004975124377755548,0.4975124377755549,0.0004975124378111223,49.75124378111223
0.333,0.0004975124377761375,0.4975124377761375,0.0004975124378111194,49.75124378111194
0.334,0.0004975124377767059,0.497512437776706,0.0004975124378111164,49.75124378111165
0.335,0.0004975124377772886,0.4975124377772886,0.0004975124378111136,49.75124378111136
0.336,0.0004975124377778712,0.4975124377778712,0.0004975124378111107,49.75124378111107
0.337,0.0004975124377784539,0.4975124377784539,0.0004975124378111078,49.75124378111077
0.338,0.0004975124377790223,0.4975124377790223,0.0004975124378111049,49.7512437811105
0.339,0.000497512437779605,0.497512437779605,0.000497512437811102,49.7512437811102
0.34,0.0004975124377801876,0.4975124377801876,0.0004975124378110991,49.75124378110991
0.341,0.0004975124377807703,0.4975124377807703,0.0004975124378110962,49.75124378110961
0.342,0.0004975124377813529,0.4975124377813529,0.0004975124378110932,49.75124378110932
0.343,0.0004975124377819214,0.4975124377819213,0.0004975124378110904,49.75124378110904
0.344,0.000497512437782504,0.497512437782504,0.0004975124378110875,49.75124378110875
0.345,0.0004975124377830867,0.4975124377830866,0.0004975124378110846,49.75124378110846
0.346,0.0004975124377836693,0.4975124377836693,0.0004975124378110816,49.75124378110817
0.347,0.0004975124377842377,0.4975124377842377,0.0004975124378110788,49.75124378110788
0.348,0.0004975124377848203,0.4975124377848203,0.0004975124378110759,49.75124378110759
0.349,0.000497512437785403,0.497512437785403,0.000497512437811073,49.7512437811073
0.35,0.0004975124377859856,0.4975124377859856,0.0004975124378110701,49.75124378110701
0.351,0.0004975124377865541,0.4975124377865541,0.0004975124378110673,49.75124378110673
0.352,0.0004975124377871367,0.4975124377871367,0.0004975124378110643,49.75124378110643
0.353,0.0004975124377877194,0.4975124377877194,0.0004975124378110615,49.75124378110615
0.354,0.000497512437788302,0.497512437788302,0.0004975124378110585,49.75124378110586
0.355,0.0004975124377888705,0.4975124377888704,0.0004975124378110556,49.75124378110556
0.356,0.0004975124377894531,0.4975124377894531,0.0004975124378110528,49.75124378110528
0.357,0.0004975124377900358,0.4975124377900357,0.0004975124378110499,49.75124378110499
0.358,0.0004975124377906184,0.4975124377906184,0.0004975124378110469,49.75124378110469
0.359,0.0004975124377911869,0.4975124377911868,0.0004975124378110441,49.75124378110441
0.36,0.0004975124377917695,0.4975124377917695,0.0004975124378110412,49.75124378110412
0.361,0.0004975124377923522,0.4975124377923521,0.0004975124378110383,49.75124378110382
0.362,0.0004975124377929348,0.4975124377929347,0.0004975124378110353,49.75124378110353
0.363,0.0004975124377935173,0.4975124377935174,0.0004975124378110324,49.75124378110324
0.364,0.0004975124377940858,0.4975124377940858,0.0004975124378110296,49.75124378110296
0.365,0.0004975124377946684,0.4975124377946685,0.0004975124378110267,49.75124378110267
0.366,0.0004975124377952511,0.4975124377952511,0.0004975124378110237,49.75124378110237
0.367,0.0004975124377958337,0.4975124377958338,0.0004975124378110208,49.75124378110208
0.368,0.0004975124377964022,0.4975124377964022,0.000497512437811018,49.7512437811018
0.369,0.0004975124377969848,0.4975124377969848,0.0004975124378110151,49.75124378110151
0.37,0.0004975124377975675,0.4975124377975675,0.0004975124378110121,49.75124378110122
0.371,0.0004975124377981501,0.4975124377981501,0.0004975124378110093,49.75124378110093
0.372,0.0004975124377987186,0.4975124377987186,0.0004975124378110065,49.75124378110065
0.373,0.0004975124377993012,0.4975124377993012,0.0004975124378110035,49.75124378110035
0.374,0.0004975124377998839,0.4975124377998839,0.0004975124378110006,49.75124378110007
0.375,0.0004975124378004665,0.4975124378004665,0.0004975124378109977,49.75124378109977
0.376,0.000497512437801035,0.4975124378010349,0.0004975124378109948,49.75124378109948
0.377,0.0004975124378016175,0.4975124378016176,0.000497512437810992,49.7512437810992
